Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
"Spawn of Juiblex, Greater",Huge,Elemental,"Exraplanar, Water",11,126,40,c30,24,8,24,26,Slam +16 (3d8+10/19-20 plus slimy infestation) or sludge orb +6 (2d8+10 plus slimy infestation),2 slams +16 (3d8+10/19-20 plus slimy infestation); or sludge orb +6/+1 (2d8+10 plus slimy infestation),"Slimy infestation, sludge orb",,"Blindsense 60ft, DR 5/-, DV60, horrific presence, sludge form",14,3,5,31,10,24,6,15,10,Demiplane of Filth (or Underground),always,CE,10,MM5,,,,,,,,,,,,,,,,
"Spawn of Juiblex, Lesser",Large,Elemental,"Extraplanar, Water",8,68,40,c30,18,10,17,17,Slam +12 (2d8+7 plus slimy infestation),2 slams,Slimy infestation,,"Blindsense 60ft, DR 5/-, DV60, sludge form",10,3,3,25,12,19,4,13,10,Demiplane of Filth (or Underground),always,CE,6    ,MM5,,,,,,,,,,,,,,,,
Spawn of Kyuss,Medium,Undead,,4,29,30,,11,9,11,6,Slam +6 (1d6+6 plus Kyuss's gift) or touch +6 (Kyuss's gift) or ranged touch +1 (Kyuss's gift),Same as Attack,"Create spawn, fear aura, Kyuss's gift",,"Curative transformation, DV60, FH5, +2 turn resistance",1,0,4,18,9,-,6,11,15,Any land and underground,always,CE,5    ,MM2,,,,,,,,,,,,,,,,
"Spawn of Kyuss, Blessed",Large,Undead,,12,93,40,,15,8,15,21,Slam +16 (1d8+16 plus Kyuss's gift),2 slams,"Bestow worm, Kyuss's gift, SLAs","CL12, 1/day - contagion, haste, unholy blight","Curative transformation, DV60, FH14",4,3,8,32,8,-,6,11,22,Any,always,CE,10,ElderE,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Blackspawn Corruptor",Medium,Monstrous Humanoid,"Dragonblood, Water",6,39,60,s30,18,12,16,9,Bite +9 (1d4+3 plus poison),Bite and 2 claws +4 (1d3+1),"Aquatic ambush, aura of putrefaction, corruptive splash, watery death urge",,"DV60, immunity to acid, blindness, disease, and poison, SR 18, Tiamat's blessing, vulnerability to fire",6,7,6,17,14,14,12,13,14,Any marsh,always,CE,6    ,Web,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Blackspawn Raider",Medium,Monstrous Humanoid,Dragonblood,8,60,40,,15,12,13,10,Falchion +10 (2d4+3/18-20) or javelin +10 (1d6+2),Falchion +10/+5 (2d4+3/18-20) or javelin +10 (1d6+2),Breath weapon 4d4 acid,,"DR 5/good or magic, DV60, immunity to acid, paralysis, and sleep effects, LLV",5,8,6,14,15,16,10,11,8,Warm marshes,always,CE,4    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Blackspawn Raider, Exterminator",Medium,Monstrous Humanoid,Dragonblood,14,88,40,,22,19,16,15,+1 short sword +19 (1d6+4/19-20 plus poison) or +1 composite shortbow (+3 Str bonus) +19 (1d6+4/x3),+1 short sword +19/+14/+9 (1d6+4/19-20 plus poison) or +1 composite shortbow (+3 Str bonus) +19/+14/+9 (1d6+4/x3),"Breath weapon 7d4 acid, poison use, sudden strike +3d6",,"DR 5/good or magic, DV60, ghost step, great leap, immunity to acid, paralysis, and sleep effects, ki dodge, ki power 5/day, LLV, trapfinding",6,17,10,16,22,14,10,14,11,Warm marshes,always,CE,10,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Blackspawn Stalker",Large,Magical Beast,Dragonblood,10,105,40,c40,25,11,23,20,Bite +15 (2d6+6/19-20 plus 1d6 acid) or web +11 (entangle),Bite and 2 tail slaps +13 (1d8+3); or 2 webs,"Deadly charge 4d6+9, spit acid",,"DV60, immunity to acid, LLV, scent, Tiamat's blessing (acid), tremorsense 60ft",12,9,4,23,15,21,5,13,11,Warm marshes,always,CE,9    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Bluespawn Ambusher",Medium,Magical Beast,Dragonblood,4,30,20,b20,18,10,18,8,Claw +8 (1d8+4),2 claws and gore +6 (1d6+2),Electricity burst,,"DV60, immunity to electricity, LLV, tremorsense 60ft",6,4,3,19,10,14,3,14,13,Warm deserts,always,LE,4    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Bluespawn Burrower",Large,Magical Beast,Dragonblood,12,114,30,b20,25,11,23,23,Tail slap +18 (1d8+10/19-20 plus shock),Tail slap and 2 claws +17 (2d8+3),"Improved grab, lightning sweep, shock",,"DV60, electricity shield, immunity to electricity, LLV, Tiamat's blessing (electricity), tremorsense 60ft",12,10,5,25,15,19,3,8,11,Temperate deserts,always,LE,9    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Bluespawn Godslayer",Huge,Monstrous Humanoid,Dragonblood,12,138,30,,23,6,23,30,+2 bastard sword +23 (3d8+12/17-20 plus 2d6 electricity),+2 bastard sword +23/+18/+13 (3d8+12/17-20 plus 2d6 electricity) and bite +15 (2d6+5 plus 2d6 electricity),"Dragon slayer, outsider slayer",,"DR 10/chaotic, DV60, immunity to electricity, paralysis, and sleep effects, SR 20",11,6,8,30,6,25,8,11,10,Temperate deserts,usually,LE,10,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Bluespawn Stormlizard",Large,Magical Beast,Dragonblood,6,69,40,,23,8,23,18,Gore +13 (2d6+12),Same as Attack,"Deadly charge 4d6+12, electricity arc, electricity link",,"DR 5/magic, DV60, immunity to electricity, LLV, Tiamat's blessing (electricity)",11,4,4,27,9,22,2,14,8,Warm deserts,always,LE,6    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Greenspawn Leaper",Medium,Magical Beast,Dragonblood,3,19,40,c40,18,14,14,6,Bite +8 (1d6+4),Same as Attack,Poison burst,,"DV60, immunity to acid, LLV",4,7,3,17,19,12,2,15,8,Warm forests,always,NE,2    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Greenspawn Razorfiend",Large,Magical Beast,Dragonblood,10,85,50,s50,19,12,16,20,Wingblade +15 (2d6+6/18-20/x3),2 wingblades and bite +10 (1d8+3),"Augmented critical, breath weapon 5d6 acid",,"DR 5/magic, DV60, immunity to acid, paralysis, and sleep effects, LLV, Tiamat's blessing (acid), water breathing",10,10,5,22,17,16,5,15,12,Forests and marshes,always,LE,7    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Greenspawn Sneak",Small,Monstrous Humanoid,Dragonblood,2,11,30,,19,14,16,-2,Dragonsplit +6 (1d4/19-20 or 1d4/x4) or dagger +6 ranged (1d3),Dragonsplit +4/+4 (1d4/19-20 or 1d4/x4) or dragonsplit +6 (1d4/19-20 or 1d4/x4) or dagger +6 ranged (1d3),Sneak attack +2d6,,"DV60, immunity to acid, water breathing",1,6,3,11,16,13,10,11,15,Forests and marshes,always,LE,2    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Greenspawn Sneak, Raid Leader",Small,Monstrous Humanoid,Dragonblood,7,56,40,,23,16,23,4,+1 dragonsplit +14 (1d4+3/19-20 or 1d4+3/x4) or longbow +12 (1d6/x3),+1 dragonsplit +12/+7 (1d4+3/19-20 or 1d4+3/x4) and dragonsplit +11 (1d4+1/19-20 or 1d4+3/x4); or +1 dragonsplit +14/+9 (1d4+3/19-20 or 1d4+3/x4); or longbow +12/+7 (1d6/x3),"Favored enemy humans +2, skirmish +1d6, sneak attack +2d6",,"Battle fortitude, DV60, fast movement, immunity to acid, trackless step, trapfinding, water breathing, wild empathy +3 (-1 magical beast)",8,14,7,15,20,16,10,12,12,Forests and marshes,always,LE,7    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Greenspawn Zealot",Medium,Monstrous Humanoid,Dragonblood,6,45,20,,21,10,21,9,Heavy mace +10 (1d8+3) or light crossbow +6 (1d8/19-20),Heavy mace +10/+5 (1d8+3) or light crossbow +6 (1d8/19-20),Touch of Tiamat,,"DV60, favored enemy humans +2, immunity to acid, Tiamat's grace, zealotry",5,5,8,16,11,16,10,12,12,Any,always,LE,5    ,MM5,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Redspawn Arcaniss",Medium,Monstrous Humanoid,"Dragonblood, Fire",8,52,40,,18,11,17,8,Masterwork heavy mace +9 (1d8),Masterwork heavy mace +9/+4 (1d8),"Fire spell affinity, spells (sor6)",,"Armored mage, DV60, immunity to fire, paralysis, and sleep effects, LLV, vulnerability to cold",4,7,6,10,13,15,10,10,17,Warm hills,always,CE,6    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Redspawn Berserker",Large,Monstrous Humanoid,Dragonblood,10,105,40,,20,9,20,19,Morningstar +15 (2d6+5),Morningstar +15/+10 (2d6+5) and bite +10 (1d8+2),Berserk attacks +2d6,,"DV60, immunity to fear, fire, paralysis, and sleep effects, vulnerability to cold",11,7,8,21,10,23,8,12,7,Warm mountains,always,CE,8    ,DrM,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Redspawn Firebelcher",Large,Magical Beast,"Dragonblood, Fire",8,84,40,s30,18,8,18,16,Bite +12 (2d6+6 plus 1d6 fire),Same as Attack,Belch fire,,"DV60, immunity to fire, paralysis, and sleep effects, LLV, Tiamat's blessing (fire), vulnerability to cold",11,5,2,19,8,21,1,11,6,Warm hills,always,CE,6    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Whitespawn Hordeling",Small,Monstrous Humanoid,"Cold, Dragonblood",2,13,40,f20 (clu),13,11,13,-2,Short sword +3 (1d4/19-20) or dart +3 (1d3),Short sword +3 (1d4/19-20) and bite +1 (1d4); or short sword +1/+1 (1d4/19-20) and bite 1 (1d4); or dart +3 (1d3),Breath weapon 1d6 cold,,"DV60, immunity to cold, vulnerability to fire",2,3,2,11,10,14,4,9,9,Any cold,usually,CE,1    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Whitespawn Hunter",Medium,Monstrous Humanoid,"Cold, Dragonblood",6,39,20,,17,11,16,8,Ranseur +8 (2d4+3/x3) or handaxe +8 (1d6+2/x3) or shortbow +7 (1d6/x3),Ranseur +8/+3 (2d4+3/x3); or handaxe +8/+3 (1d6+2/x3); or shortbow +7 (1d6/x3),-,,"DV60, ice step, immunity to cold, paralysis, and sleep effects, LLV, vulnerability to fire",4,6,6,15,12,14,8,13,10,Cold plains,always,CE,4    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Whitespawn Hunter, Berserker",Medium,Monstrous Humanoid,"Cold, Dragonblood",8,77,30,,19,12,19,13,Masterwork spiked chain +14 (2d4+10) or handaxe +13 (1d6+7/x3) or masterwork composite shortbow (+5 Str bonus) +11 (1d6+5/x3),Masterwork spiked chain +14/+9 (2d4+10); or handaxe +13/+8 (1d6+7/x3); or masterwork composite shortbow (+5 Str bonus) +11/+6 (1d6+5/x3),Rage 1/day,,"DV60, fast movement, ice step, immunity to cold, paralysis, and sleep effects, LLV, vulnerability to fire",10,8,7,20,14,18,6,12,13,Cold plains,always,CE,6    ,MM4,,,,,,,,,,,,,,,,
"Spawn of Tiamat, Whitespawn Iceskidder",Large,Magical Beast,"Cold, Dragonblood",9,85,40,,17,9,17,21,Bite +17 (2d6+12),Same as Attack,Breath weapon 6d6 cold plus freezing,,"DR 10/magic, DV60, ice step, immunity to cold, LLV, Tiamat's blessing (cold), vulnerability to fire",10,6,5,27,10,18,2,14,7,Cold marshes,always,CE,6    ,MM4,,,,,,,,,,,,,,,,
Spectral Lurker,Huge,Aberration,Incorporeal,16,152,50,f40 (prf),20,20,12,20,Tentacle +18 (2d6),2 tentacles and bite +16 (2d8),"Constrict 2d8, Dexterity drain, ghost touch attacks, improved grab, incorporealize",,"All-around vision, blindsight 60ft, DR 15/magic, DV60, immunity to cold, electricity, and sonic, SR 28",10,13,12,-,27,21,10,14,18,Any land and underground,usually,NE,17,FF,,,,,,,,,,,,,,,,
Spectral Lyrist,Medium,Undead,Incorporeal,6,39,,f60 (gd),20,15,18,-,Incorporeal touch +5 (1d6 Cha drain),Same as Attack,"Bardic music, Charisma drain",,"Alter appearance, DV60, inescapable craving",2,4,7,-,15,-,13,14,17,Any,always,CE,4    ,LM,,,,,,,,,,,,,,,,
Spectral Panther,Large,Magical Beast,Incorporeal,3,25,40,,15,10,14,11,Bite +6 (1d8+6),Same as Attack,Fear aura,,"DV60, FH2, ghost touch, LLV, spectral form",6,4,3,18,13,16,13,14,15,Any land,usually,NE,4    ,MoF,,,,,,,,,,,,,,,,
Spectral Rider,Medium,Undead,,7,45,20,,19,11,18,7,Longsword +8 (1d8+6/19-20) or defiling touch +7 (1d6+4),Same as Attack,"Defiling touch, desecration aura, phantom steed, smite good 1/day, unholy strike",,"DR 10/bludgeoning, DV60, ghost shift, immunity to cold, magic circle against good, shroud of living days",2,4,7,18,14,-,12,15,19,Any,usually,LE,6    ,MM5,,,,,,,,,,,,,,,,
Spectral Steed (incorporeal),Large,Undead,Incorporeal,4,26,60,f100 (gd),11,11,10,6,Incorporeal hoof touch +2 (1d4 cold),2 incorporeal hoof touches and incorporeal bite +0 (1d6 cold plus energy drain),"Cold damage, energy drain, soul charge",,"DV60, scent, sunlight powerlessness, turn resistance +2",1,4,6,-,13,-,5,14,10,Any land and underground,usually,NE,3    ,GW,,,,,,,,,,,,,,,,
Spectral Steed (manifested fully),Large,Undead,Incorporeal,4,26,60,f100 (gd),11,11,10,6,Hoof +1 (1d4 cold),2 hooves and bite -1 (1d6 cold plus energy drain),"Cold damage, energy drain, soul charge",,"DV60, scent, sunlight powerlessness, turn resistance +2",1,4,6,-,13,-,5,14,10,Any land and underground,usually,NE,3    ,GW,,,,,,,,,,,,,,,,
Spectre,Medium,Undead,Incorporeal,7,45,40,f80 (prf),15,15,13,-,Incorporeal touch +6 (1d8 plus energy drain),Same as Attack,"Create spawn, energy drain",,"DV60, +2 turn resistance, sunlight powerlessness, unnatural aura",2,5,7,-,16,-,14,14,15,Any land and underground,always,LE,7    ,MM1,,,,,,,,,,,,,,,,
Spell Weaver,Medium,Monstrous Humanoid,,10,36,30,,18,13,15,9,Slam +9 (1d3-1),2 slams,"SLAs, spells (sor lvl = HD+2)","CL=HD+2, at will - detect magic, invisibility; 1/day - plane shift.","Chromatic disk, DV60, immunity to mind-affecting effects, shielded mind, spell weaving, SR 21, telepathy",2,10,10,9,16,9,18,17,16,Any land and underground,usually,NN,10,MM2,,,,,,,,,,,,,,,,
Spelleater,Huge,Dragon,,18,225,50,,31,10,29,36,Bite +27 (3d6+10/19-20),Bite and tail +21 (2d6+5),"Devour spell, SLAs","CL18, at will - detect magic","DV60, immunity to sleep and paralysis, SR 22, superior low-light vision",17,13,10,31,14,22,12,8,10,Cold forests,always,CN,14,DrM,,,,,,,,,,,,,,,,
Spellgaunt,Large,Magical Beast,,16,136,40,c20,18,11,16,24,Bite +24 (1d8+8),Bite and 2 claws +17 (1d6+2),"Disjunctive bite, enhanced bite, force web, snatch item",,"DR 15/magic and cold iron, DV60, detect magic, LLV, quick leap, SR 35",13,12,5,18,14,16,13,11,21,Any forest,always,NN,12,MM2,,,,,,,,,,,,,,,,
Spellsong Nightingale,Dimin.,Construct,,1,6,,f40 (avg),17,16,15,-17,-,-,-,,"DV60, hardness 2, LLV, stored spells",0,2,0,1,14,-,-,10,2,Any,always,NN,-,Web,,,,,,,,,,,,,,,,
"Sphinx, Androsphinx",Large,Magical Beast,,12,114,50,f80 (pr),22,9,22,23,Claw +18 (2d4+7),2 claws,"Pounce, rake 2d4+3, roar, spells (clr6)",,"DV60, LLV",12,8,7,25,10,19,16,17,17,Warm deserts,always,CG,9    ,MM1,,,,,,,,,,,,,,,,
"Sphinx, Canisphinx",Large,Magical Beast,,9,67,60,f90 (pr),20,10,19,18,Bite +13 (1d10+5),Bite and 2 claws +8 (1d6+2),"Pounce, rake 1d6+2, roar",,"DV60, LLV",8,7,6,21,13,15,15,17,16,Warm deserts,usually,NE,5    ,Sand,,,,,,,,,,,,,,,,
"Sphinx, Criosphinx",Large,Magical Beast,,10,85,30,f60 (pr),20,9,20,20,Gore +15 (2d6+6),Gore and 2 claws +10 (1d6+3),"Pounce, rake 1d6+3",,"DV60, LLV",10,7,3,23,10,17,10,11,11,Warm deserts,always,NN,7    ,MM1,,,,,,,,,,,,,,,,
"Sphinx, Crocosphinx",Large,Magical Beast,,15,172,40,"f60 (pr), s40",23,8,23,27,Bite +22 (2d6+8) or tail slap +22 (1d12+12),Bite and 2 claws +17 (2d4+4); or tail slap and 2 claws +17 (2d4+4),"Improved grab, pounce, rake 2d4+4",,"DV60, hold breath, LLV",15,8,7,26,8,23,13,14,15,Warm deserts,always,CE,12,Sand,,,,,,,,,,,,,,,,
"Sphinx, Gynosphinx",Large,Magical Beast,,8,52,40,f60 (pr),21,10,20,16,Claw +11 (1d6+4),2 claws,"Pounce, rake 1d6+2, SLAs","CL14, 3/day - clairaudience/clairvoyance, detect magic, read magic, see invisibility; 1/day - comprehend languages, locate object, dispel magic, remove curse, legend lore; CL18, 1/week - symbol of death, symbol of fear, symbol of insanity, symbol of pain, symbol of persuasion, symbol of sleep, symbol of stunning (all last 1 week max)","DV60, LLV",7,7,8,19,12,13,18,19,19,Warm deserts,always,NN,8    ,MM1,,,,,,,,,,,,,,,,
"Sphinx, Hieracosphinx",Large,Magical Beast,,9,67,30,f90 (pr),19,11,17,18,Bite +13 (1d10+5),Bite and 2 claws +8 (1d6+2),"Pounce, rake 1d6+2",,"DV60, LLV",8,8,5,21,14,15,6,15,10,Warm deserts,always,CE,5    ,MM1,,,,,,,,,,,,,,,,
"Sphinx, Loquasphinx",Large,Magical Beast,,11,93,40,f80 (pr),22,10,21,20,Claw +15 (1d6+5),2 claws and bite +13 (1d8+2),"Pounce, rake (1d6+2), Truespeech interrogation, utterances","TL10, LotEM: 4th - spell rebirth, 3rd - moderate word of nurturing, 2nd - speed of the zephyr, 1st - knight's puissance; LotCT, 2nd - agitate metal, analyze item; LotPM - 1st - shockwave","DV60, LLV",11,8,7,20,13,18,22,14,15,Warm deserts,always,NN,8    ,ToM,,,,,,,,,,,,,,,,
"Sphinx, Rock",Large,Magical Beast,,9,103,50,"b40, f10 (pr)",25,10,14,18,Claw +13 (1d6+5),2 claws and bite +8 (1d8+2),"Pounce, rake 1d6+2, SLAs","CL16, at will - detect magic, comprehend languages; 3/day - clairaudience/clairvoyance, read magic, see invisibility; 1/day - detect scrying, dispel magic, legend lore, locate object, tongues; 1/week - whirlwind","DR 10/magic, freeze, immunities",12,7,7,20,12,23,19,18,16,Any desert,usually,NN,6    ,DDen,,,,,,,,,,,,,,,,
"Sphinx, Saurosphinx",Large,Magical Beast,,8,76,60,f90 (pr),19,11,17,16,Claw +11 (1d6+4),2 claws,"Pounce, rake 1d6+2",,"DV60, LLV",10,8,4,19,14,19,11,15,15,Warm deserts,usually,NN,5    ,Sand,,,,,,,,,,,,,,,,
"Sphinx, Threskisphinx",Large,Magical Beast,,10,95,40,f100 (pr),19,11,17,19,Claw +14 (1d4+5),2 claws,"Pounce, rake 1d4+2, spells (drd6)",,"DV60, LLV",11,9,10,20,15,18,19,24,19,Warm deserts,always,NG,8    ,Sand,,,,,,,,,,,,,,,,
Spider Demon,Medium,Magical Beast,"Shapechanger, Spirit",3,22,50,c25,13,12,11,3,Bite +5 (1d6 plus poison) or web +5,Same as Attack,"Poison, spells (sor3), web",,"Change shape, DV60, LLV",5,5,4,11,15,14,14,13,14,Temperate forests,usually,NN,4    ,OA,,,,,,,,,,,,,,,,
Spider Eater,Large,Magical Beast,,4,42,30,f60 (gd),14,10,13,13,Sting +8 (1d8+5 plus poison),Sting and bite +3 (1d8+3),"Implant, poison",,"DV60, freedom of movement, LLV, scent",9,5,2,21,13,21,2,12,10,Temperate forests,always,NN,5    ,MM1,,,,,,,,,,,,,,,,
Spider Thief,Dimin.,Construct,,3,16,20,c20,19,19,14,-15,Claw +11 (1 plus poison),Same as Attack,Poison,,"DV60, LLV",1,6,0,1,21,-,10,8,8,Any,always,NN,2    ,Web,,,,,,,,,,,,,,,,
"Spider, Giant Water",Medium,Vermin,Aquatic,1,6,20,s40,15,12,13,1,Bite +2 (1d4+1 plus poison),Same as Attack,Poison,,DV60,3,4,0,13,15,13,7,11,6,Temperate aquatic,always,NN,1    ,LoMys,,,,,,,,,,,,,,,,
"Spider, Hairy",Fine,Vermin,,1/8,1,20,"c10, f60 (gd)",20,12,18,-21,Bite +3 (1d2-5 plus poison),Same as Attack,Poison,,"DV60, immunity to poison",2,2,0,1,14,10,-,10,2,Underground,always,NN,1/2,MoF,,,,,,,,,,,,,,,,
"Spider, Snow, Small",Small,Vermin,,1,4,30,c30,15,15,11,-6,Bite +5 (1d4-2 plus poison),Same as Attack,"Leap, poison",,"DV60, tremorsense 60ft",2,4,0,7,18,11,-,10,2,Cold marshes,always,NN,1/2,Frost,,,,,,,,,,,,,,,,
"Spider, Snow, Medium",Medium,Vermin,,2,11,40,c40,15,14,11,1,Bite +5 (1d6 plus poison),Same as Attack,"Leap, poison",,"DV60, tremorsense 60ft",4,4,0,11,18,13,-,10,2,Cold marshes,always,NN,1    ,Frost,,,,,,,,,,,,,,,,
"Spider, Snow, Large",Large,Vermin,,4,26,40,c40,16,13,12,9,Bite +6 (1d8+3 plus poison),Same as Attack,"Leap, poison",,"DV60, tremorsense 60ft",6,5,1,15,18,14,-,10,2,Cold marshes,always,NN,2    ,Frost,,,,,,,,,,,,,,,,
"Spider, Sword",Large,Vermin,,5,32,20,c20,17,9,17,11,Leg +6 (1d6+4),8 legs and bite +1 (1d8+2 plus poison),"Impalement, poison",,DV60,6,1,1,18,10,14,-,11,3,Underground,always,NN,5    ,MoF,,,,,,,,,,,,,,,,
Spiderleg Horror,Large,Aberration,,12,114,30,"b30, c30",21,12,18,19,Leg rake +14 (1d6+6),8 leg rakes,"Constrict 3d6, improved grab",,"Leg regeneration, tremorsense 60ft",11,7,11,22,17,20,3,16,3,Underground,always,CE,9    ,298,,,,,,,,,,,,,,,,
Spine Springer,Medium,Plant,Psionic,4,26,60,,18,15,13,6,Slam +6 (1d6+3),2 slams,"Body slam 2d6+4, flowers, pounce, PLAs","ML4, at will - inertial armor (AC 5*), defensive precognition (+2 insight bonus), offensive precognition (+2 insight bonus), offensive prescience (+3 insight bonus)",LLV,6,6,0,16,21,15,12,9,8,Warm plains,usually,NN,2    ,Web,,,,,,,,,,,,,,,,
Spiretop Dragon,Tiny,Dragon,,2,15,10,"c10, f60 (gd)",18,16,14,-8,Bite +8 (1d3-2),Same as Attack,-,,"Blindsense 60ft, DV60, evasion, fog cloud, immunity to magic sleep effects and paralysis, LLV",4,7,3,7,18,12,6,11,8,Any warm,usually,CG,1    ,Sharn,,,,,,,,,,,,,,,,
"Spirit Centipede, Greater (centipede form)",Small,Outsider,"Extraplanar, Spirit",5,27,50,,16,13,14,1,Bite +8 (1d4),Same as Attack,Black fog cloud,,"Change shape (scorpion, snake, spider, toad), DV60, immunity to poison, SR 12",5,6,5,10,15,12,11,12,11,Any land,always,NN,2    ,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Greater (scorpion form)",Small,Outsider,"Extraplanar, Spirit",5,27,30,,16,13,14,1,Sting +8 (1d4),Same as Attack,Black fog cloud,,"Change shape (scorpion, snake, spider, toad), DV60, immunity to poison, SR 12",5,6,5,10,15,12,11,12,11,Any land,always,NN,2    ,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Greater (snake form)",Small,Outsider,"Extraplanar, Spirit",5,27,40,,16,13,14,1,Bite +8 (1d4),Same as Attack,Black fog cloud,,"Change shape (scorpion, snake, spider, toad), DV60, immunity to poison, SR 12",5,6,5,10,15,12,11,12,11,Any land,always,NN,2    ,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Greater (spider form)",Small,Outsider,"Extraplanar, Spirit",5,27,50,,16,13,14,1,Bite +8 (1d4),Same as Attack,Black fog cloud,,"Change shape (scorpion, snake, spider, toad), DV60, immunity to poison, SR 12",5,6,5,10,15,12,11,12,11,Any land,always,NN,2    ,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Greater (toad form)",Small,Outsider,"Extraplanar, Spirit",5,27,20,,16,13,14,1,Bite +8 (1d4),Same as Attack,Black fog cloud,,"Change shape (scorpion, snake, spider, toad), DV60, immunity to poison, SR 12",5,6,5,10,15,12,11,12,11,Any land,always,NN,2    ,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Least (centipede form)",Dimin.,Outsider,"Extraplanar, Spirit",1,5,20,,19,18,14,-13,Bite +9 (1d2-2),Same as Attack,Black fog cloud,,"Change shape, DV60, immunity to poison, SR 10",3,6,0,6,19,12,5,6,5,Any land,always,NN,1/2,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Least (toad form)",Dimin.,Outsider,"Extraplanar, Spirit",1,5,10,,19,18,14,-13,Bite +9 (1d2-2),Same as Attack,Black fog cloud,,"Change shape, DV60, immunity to poison, SR 10",3,6,0,6,19,12,5,6,5,Any land,always,NN,1/2,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Lesser (centipede form)",Tiny,Outsider,"Extraplanar, Spirit",3,16,30,,17,15,14,-6,Bite +8 (1d3-1),Same as Attack,Black fog cloud,,"Change shape, DV60, immunity to poison, SR 11",4,6,2,8,17,12,7,8,7,Any land,always,NN,1    ,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Lesser (snake form)",Tiny,Outsider,"Extraplanar, Spirit",3,16,20,,17,15,14,-6,Bite +8 (1d3-1),Same as Attack,Black fog cloud,,"Change shape, DV60, immunity to poison, SR 11",4,6,2,8,17,12,7,8,7,Any land,always,NN,1    ,"OA, 318",,,,,,,,,,,,,,,,
"Spirit Centipede, Lesser (toad form)",Tiny,Outsider,"Extraplanar, Spirit",3,16,20,,17,15,14,-6,Bite +8 (1d3-1),Same as Attack,Black fog cloud,,"Change shape, DV60, immunity to poison, SR 11",4,6,2,8,17,12,7,8,7,Any land,always,NN,1    ,"OA, 318",,,,,,,,,,,,,,,,
